Sample	code_gl	Site_c	water_temp [C]	ph [pH]	do [mg l-1]	do_sat [saturation]	w_co2 [mATM]	conductivity [uS cm -1]	turb [NTU]	rdna [boolean]	lat_sn [DD]	lon_sn [DD]	ele_sn [m]	lat_sp [DD]	lon_sp [DD]	ele_sp [m]	max_el [m]	mean_el [m]	sn_sp_dist [m]	sn_sp_ele [m]	abl_asp [°]	gl_sa [km2]	gl_cov [%]	gl_a [km2]	mb_obs	fv_obs	data_ts	sn_data_ts	chla [ug g-1]	eps [ugC g-1]	ag [nmol g-1 h-1]	ap [nmol g-1 h-1]	bg [nmol g-1 h-1]	lap [nmol g-1 h-1]	nag [nmol g-1 h-1]	bp [ngC g-1 h-1]	wba [cells ml-1]	sba [cells g-1]	respiration [mg 02 g-1 h-1]	abs254 [m-1]	abs300 [m-1]	suva [mg C l-1 m-1]	e2e3 [proportion]	e4e6 [proportion]	s275295 [nm-1]	s350400 [nm-1]	s300700 [nm-1]	sr [proportion]	bix [proportion]	fi [proportion]	hix [proportion]	coble_t [RU]	coble_a [RU]	coble_m [RU]	coble_c [RU]	doc [ug l-1]	i1_na [ug l-1]	i2_k [ug l-1]	i3_mg [ug l-1]	i4_ca [ug l-1]	i5_cl [ug l-1]	i6_so4 [ug l-1]	n3_srp [ug l-1]	n4_nh4 [ug l-1]	n5_no3 [ug l-1]	n6_no2 [ug l-1]	hydro_isotope [per_mil]	oxy_isotope [per_mil]
GL46_Down	GL46	Caucasus	7	8.02	8.8	100	233	116.8	54.9	0	43.0808	43.1882	3351	43.0858	43.173	2779	4595	3871	1373	572	270	1.58	0.4	3.92	NA	NA	20190729	20190729	0.058885667	NA	0.075281693	1.124562257	0.223124239	6.738933146	0.101509348	83.43396667	NA	25137591.53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.72	1.96	431.09	1.05	NA	NA
GL46_Up	GL46	Caucasus	0.4	8.06	9.9	99.6	198.1	104.3	33.7	0	43.0808	43.1882	3351	43.0832	43.1839	3154	4595	3872	440	197	270	1.57	0.55	2.88	NA	NA	20190729	20190729	0.070981333	2.611021333	0.118157103	2.33511648	0.314194772	9.389854019	0.120011437	105.9124583	NA	17934148.79	3.36E-05	2.917	1.802666667	0.833	3.097333333	4.934333333	0.011333333	0.007	0.007333333	1.598666667	0.895302	1.366027333	0.531129	0.034828	0.022190667	0.013127333	0.009843	184.4333333	1.00676	1.14904	1.6287	10.37212	NA	NA	1.58	6.57	411.76	0.74	-79.571	-11.8647
GL47_Down	GL47	Caucasus	2.4	7.35	10.6	99.9	293.4	28.1	33.9	0	43.2106	42.6841	2573	43.2203	42.6839	2177	4224	3336	1087	396	0	3.04	0.39	7.75	NA	16	20190823	20190823	0.066543667	0.633235667	0.073289786	12.4581341	0.162810745	2.447072116	0.088870163	22.202476	NA	5503084.257	4.89E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.09	4.97	89.53	0.75	NA	NA
GL47_Up	GL47	Caucasus	0.5	7.68	10.7	99.8	257.9	36.1	26.9	0	43.2106	42.6841	2573	43.2116	42.6847	2517	4224	3336	122	56	0	3.04	0.42	7.22	NA	16	20190823	20190823	0.016846556	0.193888	0.022907468	2.284155052	0.082324757	2.093025657	0.03637865	22.1467725	NA	4209833.83	3.70E-05	2.134666667	1.450666667	0.375333333	2.581666667	11.54866667	0.009	0.008	0.007666667	1.177	0.677443667	1.359416667	1.210843333	0.024745667	0.031634333	0.018393	0.014591	246.7666667	NA	NA	NA	NA	NA	NA	0.94	13.06	123.58	0.98	-80.9983	-12.3306
GL48_Down	GL48	Caucasus	3.9	7.85	9.7	100.1	281	75.9	233.7	0	43.2032	42.7503	2766	43.2088	42.7396	2642	3829	3304	1075	124	315	2.73	0.33	8.4	53	35	20190823	20190823	0.008023445	0.130967667	0.014399703	1.532198451	0.060799692	1.862493874	0.023998273	132.86305	NA	6619151.19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.17	5.73	172.59	1.28	NA	NA
GL48_UP	GL48	Caucasus	1	7.91	10.3	99.3	212.6	76.3	9.2	0	43.2032	42.7503	2766	43.2034	42.7501	2760	3829	3302	29	6	315	2.44	0.67	3.61	53	35	20190823	20190823	0.018788778	0	0.024690769	0.877591942	0.053478772	1.839927001	0.019674487	63.68738333	NA	4360124.403	4.10E-05	1.415	1.017	0.591	2.39	8.168	0.007	0.007	0.007	0.94	0.70707	1.154492	0.644357	0.015312	0.018438	0.009643	0.00665	106.65	NA	NA	NA	NA	NA	NA	0.4	5.52	232.94	0.59	-84.1657	-12.7158
GL49_Down	GL49	Caucasus	4.1	7.68	9.6	100	228.4	89.9	14.4	0	43.1978	42.7389	2825	43.1992	42.7342	2741	3780	3234	413	84	315	0.56	0.47	1.18	NA	NA	20190823	20190823	0.026388334	0.682562333	0.065867331	4.112972967	0.191715237	5.858460486	0.079565841	122.3830167	NA	11147580.96	5.76E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.18	2.29	208.85	0.26	NA	NA
GL49_UP	GL49	Caucasus	1.9	7.83	10	99.6	245.4	87.7	11.3	0	43.1978	42.7389	2825	43.198	42.7382	2799	3784	3251	63	26	315	0.5	0.64	0.78	NA	NA	20190823	20190823	0.020414111	0.439807667	0.032131831	1.121464979	0.119400005	2.554127358	0.048488287	94.75033333	NA	4721823.273	8.45E-05	1.385333333	0.976333333	0.3985	2.377666667	5.504666667	0.008	0.007	0.007	1.160333333	0.755697	1.287094	1.405998667	0.012300333	0.023115	0.012404	0.009307667	158.8	NA	NA	NA	NA	NA	NA	0.17	2.78	259.69	0.56	-82.9368	-12.5466
GL50_Down	GL50	Caucasus	2	7.81	10.7	101	273.1	80.4	19.1	0	43.1946	42.6478	2386	43.208	42.6511	2212	4267	3283	1525	174	45	13.72	0.39	35.02	NA	NA	20190823	20190823	0.049051333	0.163542667	0.03062689	1.934025035	0.242868714	2.35420457	0.055304203	69.52716	NA	10686627.55	7.47E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.83	3.35	222.07	0.5	NA	NA
GL50_UP	GL50	Caucasus	0.8	7.89	10.7	98.5	264.2	83.9	10.7	0	43.1946	42.6478	2386	43.1952	42.6484	2364	4267	3321	84	22	45	11.27	0.48	23.69	NA	NA	20190823	20190823	0.007405333	0.224196	0.005736434	0.412056161	0.048994842	0.926389868	0.003393605	63.11514333	NA	3304706.243	1.15E-05	1.658666667	1.175333333	0.616666667	2.391333333	4.923666667	0.008	0.007	0.007	1.072	0.912306333	1.220800667	1.291095667	0.010367	0.019147333	0.01032	0.007651667	118.7666667	NA	NA	NA	NA	NA	NA	1.16	6.71	262.04	0.67	-85.1112	-12.7121
GL51_DN	GL51	Caucasus	2.5	8.24	10.4	102	191.4	83.4	38.4	0	43.2097	42.7247	2576	43.2133	42.7148	2466	4216	3197	898	110	0	4.47	0.47	9.54	NA	NA	20190823	20190823	0.351867222	1.452058	6.134154458	3.335245635	0.970818347	6.65844254	0.170420031	78.54847667	NA	39642064.37	1.56E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.94	12.6	241.53	1.51	NA	NA
GL51_Up	GL51	Caucasus	1	8.06	10.3	97.9	249	81.6	40.8	0	43.2097	42.7247	2576	43.2099	42.7242	2576	4216	3185	47	0	0	4.42	0.52	8.49	NA	NA	20190823	20190823	0.100551333	1.197138	0.057998296	21.45829365	0.202252791	5.401742756	0.056945922	75.43751667	NA	24761547.5	8.03E-05	2.822666667	1.927666667	0.663	2.614333333	6.854	0.009	0.007666667	0.008333333	1.082333333	0.986626667	1.298547333	0.864589333	0.019224333	0.026357333	0.015210333	0.01152	166.5	0.66369	0.75602	1.24994	9.05976	NA	NA	0.57	18.17	247.13	1.38	-82.9806	-12.5328
GL52_DN	GL52	Caucasus	5.7	7.4	9.4	99.3	263.1	22.5	48.1	0	43.3004	42.502	3279	43.2753	42.5128	2387	5597	4030	2927	892	135	7.36	0.4	18.39	NA	4	20190813	20190813	0.013112889	0.173442	0.022372737	0.269969488	0.082535201	0.535252273	0.051080163	70.35739167	NA	7552518.96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40.22	3.23	145.58	1.97	NA	NA
GL53_Down	GL53	Caucasus	6.3	8.04	9.3	100.4	246.9	192.3	7.6	0	43.2932	42.4783	3401	43.2677	42.4881	2400	5014	3957	2983	1001	180	4.14	0.42	9.93	37	17	20190813	20190813	0.045397778	2.672699	0.123184012	0.182784409	0.436460052	1.101890098	0.087664565	52.01182167	NA	7788910.557	9.53E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44.04	8.33	122.73	1.09	NA	NA
GL54_DN	GL54	Caucasus	4.1	7.59	10	101.2	465.2	66.5	11.9	0	43.279	42.4404	2939	43.2654	42.4668	2394	5651	4137	2712	545	135	26.17	0.62	42.43	NA	42	20190813	20190813	0.004956444	0.553086667	0.011835204	0.132461607	0.040925149	7.447987954	0.015070173	29.50789	NA	5885800.417	1.69E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34.89	6.53	191.86	1.01	NA	NA
GL54_UP	GL54	Caucasus	2.4	7.91	10.2	100.1	268.2	68.5	13	0	43.279	42.4404	2939	43.2721	42.4468	2561	5651	4010	927	378	135	21.8	0.77	28.14	NA	42	20190813	20190813	0.003638444	NA	0.006624543	0.084169074	0.015366609	0.261355533	0.023363242	18.4268945	NA	4275337.9	7.15E-06	3.154	2.17	1.998333333	2.460333333	3.797333333	0.008666667	0.007333333	0.007333333	1.166333333	1.034937333	1.267801	0.453607	0.013705333	0.015360333	0.007570333	0.004924333	69.1	4.06383	1.26051	2.97294	4.39212	0.26357	12.15356	37.9	8.67	203.97	0.38	-100.213	-14.4946
GL56_Up	GL56	Caucasus	4.7	NA	10.1	100.1	295.1	94.6	1100	0	43.2608	41.5976	2798	43.2617	41.6102	2104	3764	3234	1028	694	45	2.94	0.65	4.56	NA	NA	20200830	20200830	0.023522	1.351671333	0.140076347	1.832861046	0.381511035	9.096995244	0.141171422	48.61464167	NA	60319757.57	2.25E-04	9.105333333	7.289666667	1.710333333	1.941666667	3.110333333	0.005666667	0.007333333	0.006333333	0.805333333	1.161791667	1.640773333	0.683176333	0.044045	0.039748	0.024929333	0.020970333	247.2333333	0.37973	2.25072	0.833685	9.430335	0.2166	14.22191	4.25	5.27	59.98	2.46	-84.7299	-12.3865
GL58_Down	GL58	Caucasus	5.4	6.95	9.9	100.3	383.8	50	10.6	0	43.2348	41.693	2372	43.2512	41.6916	2113	3326	2849	1825	259	0	4.12	0.3	13.9	NA	NA	20200830	20200830	0.005038889	NA	0.089693249	1.387764695	0.344322268	1.9686945	0.099906083	43.66904667	NA	37578433.47	3.93E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.27	10.01	225.06	0.43	NA	NA
GL58_Up	GL58	Caucasus	0.6	6.45	11	99.9	342	53.8	20.3	0	43.2348	41.693	2372	43.2356	41.6929	2347	3762	3038	87	25	0	1.35	0.58	2.33	NA	NA	20200830	20200830	2.59E-04	3.092367	0.006906029	0.468314058	0.041084458	0.534816744	0.028682807	10.90472967	NA	13744232.57	5.53E-05	3.517666667	2.402333333	1.011	2.731333333	10.02033333	0.009333333	0.009666667	0.008333333	0.954333333	1.045179	1.712936	0.679495333	0.019368	0.021215333	0.012712	0.009838333	156.3333333	0.61462	0.65617	1.38996	5.19033	0.20807	18.37054	0.54	24.25	260.67	0.83	NA	NA
GL5_Up	GL5	New_Zealand	7.7	7.54	10.4	100.4	414.9	32.4	0.1	0	-42.9232	171.5044	1848	-42.9249	171.5141	1325	1902	1837	821	523	90	0.03	0.06	0.46	NA	NA	20190228	20190302	0.157253	1.196500667	0.611989214	6.030224182	2.212618641	13.53446978	1.111378985	132.924065	NA	132735334.5	3.07E-04	0.492	0.334333333	0.266	2.302666667	2.367	0.01	0.020333333	0.011666667	0.598	NA	NA	NA	NA	NA	NA	NA	85.46666667	NA	NA	NA	NA	NA	NA	7.3	25.5	10	NA	-58.7893	-9.17892
GL61_DN	GL61	Ecuador	3.1	4.16	7.5	97.4	199.2	69	307.7	0	0.0382	-77.997	4814	0.043	-77.9998	4620	5763	5321	675	194	0	0.74	0.59	1.25	NA	NA	20200206	20200206	0.019852	3.578411333	0.086790405	0.526362415	1.902008946	0.695419254	0.927337172	NA	NA	13350832.23	3.56E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.82	15.88	13.76	1.87	-96.9	-13.4148
GL65_DN	GL65	Ecuador	0.9	5.81	8.1	99.8	129.9	2.1	1023.7	0	-0.4937	-78.1584	4762	-0.4942	-78.1588	4739	5685	5202	70	23	225	1.34	0.96	1.41	NA	NA	20200206	20200206	0.006880889	1.018699333	0.024096456	0.152198128	0.174643921	0.843348214	0.042221897	2.770301	NA	5257903.827	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.11	11.06	0.79	1.7	-99.2471	-13.8248
GL65_UP	GL65	Ecuador	0.4	5.81	8.1	98.2	128.6	2.2	1061.7	0	-0.4937	-78.1584	4762	-0.4941	-78.1587	4746	5685	5202	48	16	225	1.34	0.96	1.4	NA	NA	20200206	20200206	0.002039	1.605299	0.013680255	0.118187876	0.084099861	0.521014487	0.027947116	2.084887167	NA	2850984.95	1.72E-05	8.012	5.765	1.286666667	2.368	4.228666667	0.007666667	0.008	0.007666667	0.962	2.005589	1.596740667	0.412007667	0.056152667	0.028585333	0.026271	0.009579333	279	0.46626	0.115106	0.028402	0.101216	0.058343	0.325127	16.44	13.15	2.57	2.83	-99.4337	-13.8663
GL68_DN	GL68	Ecuador	0.9	7.05	8.1	100.6	112.4	1.9	1100	0	-0.4781	-78.1576	4813	-0.4773	-78.1592	4778	5680	5189	198	35	315	0.42	0.73	0.58	NA	NA	20200206	20200206	0.012176778	1.534406333	0.042357319	0.668469669	0.347696762	0.90684435	0.155027505	6.810591667	NA	7092803.193	4.57E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28.51	12.57	21.22	1.08	-97.7145	-13.5767
GL6_Down	GL6	New_Zealand	8	8.15	10.5	99.6	434.2	15	0.9	0	-42.9216	171.5092	1694	-42.9307	171.5185	1118	2206	2033	1293	576	180	0.57	0.19	3.01	NA	15	20190228	20190302	0.002359222	0	0.033847217	0.3216775	0.11114176	0.752775115	0.050457876	65.42115667	NA	15075287.27	3.98E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GL72_DN	GL72	Ecuador	2.3	5	7.8	99	154.7	3.6	657	0	-0.6671	-78.4265	4811	-0.6658	-78.4262	4746	5797	5156	141	65	0	0.34	0.85	0.4	NA	NA	20200206	20200206	0.001914778	NA	0.017334039	0.343087452	0.086019171	0.605627335	0.033460237	7.865789333	NA	5568478.82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.51977	0.078242	0.058325	0.290481	0.179875	0.260685	10.39	12.13	9.99	1.74	-89.9555	-12.8097
GL73_DN	GL73	Ecuador	3.3	5.27	7.8	99.8	154.3	15.9	184.7	0	-1.4612	-78.777	4543	-1.4605	-78.773	4471	5842	5397	453	72	90	0.82	0.33	2.48	NA	NA	20200206	20200206	0.131139778	1.435758	0.239798432	4.809625444	1.204777667	5.799920639	0.616377892	27.96679667	NA	49973853.23	6.27E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0569	0.223867	0.383491	1.190447	0.30222	0.74023	41.25	15.24	123.62	2.75	-77.4762	-11.3442
GL73_UP	GL73	Ecuador	0.8	5.08	8.3	98.6	154.5	15.3	190.3	0	-1.4612	-78.777	4543	-1.4612	-78.7769	4541	5842	5397	13	2	90	0.82	0.35	2.38	NA	NA	20200206	20200206	0.124786778	3.168865667	0.476980651	5.938891669	2.767846626	2.374913387	2.400999951	34.74161833	NA	38074688.17	1.41E-04	11.152	8.219333333	1.967	2.202333333	3.104333333	0.007666667	0.006666667	0.006666667	1.140333333	0.913043667	1.273155333	0.880046333	0.080598667	0.060386333	0.039614	0.031658333	248.5333333	0.935256	0.184287	0.325383	0.833243	0.209911	0.733082	45.99	16.97	154.4	3.01	-76.4678	-11.1283
GL74_DN	GL74	Ecuador	4.2	5.25	7.4	99.5	141.2	8.7	79	0	-1.405	-78.7559	4764	-1.4062	-78.7566	4725	4779	4770	156	39	180	0.01	0.07	0.11	NA	NA	20200206	20200206	0.113307778	0.812371333	0.137791102	1.4614948	0.373778776	3.125427527	0.248443995	NA	NA	11581297.35	1.29E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.866593	0.109608	0.265603	0.448624	0.268809	0.283748	32.52	13.9	19.46	1.8	-75.0422	-10.9787
GL74_UP	GL74	Ecuador	1.5	4.9	8	99.8	142.9	10.3	148.6	0	-1.405	-78.7559	4764	-1.4051	-78.7559	4764	4779	4770	6	0	180	0.01	0.12	0.07	NA	NA	20200206	20200206	0.137993556	0.898537333	0.147086802	4.857544217	0.796238959	1.382209001	0.366808704	19.72361167	NA	2895576.417	NA	8.387333333	5.41	1.405666667	2.781666667	3.756	0.011	0.008	0.008	1.475333333	0.995291667	1.354117333	0.877961	0.035388667	0.034028	0.021262667	0.016182333	262.7666667	1.439739	0.105292	0.306833	0.508154	0.7993	0.306751	26.96	20.36	30.25	1.56	-88.6291	-12.5205
GL75_DN	GL75	Ecuador	2.9	4.52	7.8	102.5	141	5.6	945.7	0	-1.4463	-78.8039	4936	-1.4456	-78.8039	4935	6032	5281	84	1	45	0.96	0.75	1.28	NA	NA	20200206	20200206	0.063741889	0.607502667	0.083238053	0.644617927	0.32356433	1.30621823	0.05824612	23.934215	NA	4098067.743	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.496739	0.099496	0.093166	0.316661	0.096965	0.271628	40.78	20.39	38.96	3.03	-91.3483	-12.8566
GL75_UP	GL75	Ecuador	0	4.42	8.1	98.7	141.3	6.1	1100	0	-1.4463	-78.8039	4936	-1.4462	-78.804	4936	6032	5281	20	0	45	0.96	0.77	1.25	NA	NA	20200206	20200206	0.073228889	0.642445333	0.125344944	0.53521594	0.519421672	2.118309937	0.066163366	23.484865	NA	7345590.68	NA	13.24833333	11.381	3.063666667	1.645666667	2.872666667	0.004	0.005333333	0.005333333	0.756666667	1.588455	1.557656	0.426954667	0.085880667	0.04858	0.03076	0.016945333	204.5333333	0.567203	0.09212	0.166952	0.264214	0.071594	0.308373	37.09	18.49	49.97	3.39	-88.8039	-12.1369
GL77_DN	GL77	Alps	7.9	7.77	9.7	105.2	151.7	32.5	83	0	46.335	9.7021	2259	46.3431	9.7006	2223	3325	2743	914	36	0	5.98	0.37	16.15	6	118	2019	2019	0.077478222	3.598667333	0.265937282	2.792671697	1.096928602	16.34592544	0.300268231	50.96853833	NA	5879931.863	3.50E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.22801	0.504126	0.340709	2.157203	0.093335	1.271685	4.68	13.88	102.21	2.53	-92.2808	-13.0138
GL77_UP	GL77	Alps	1.8	8.13	10.8	100.4	198.1	15.2	129.3	0	46.335	9.7021	2259	46.3352	9.7018	2254	3325	2743	31	5	0	5.98	0.44	13.66	6	118	2019	2019	0.014986889	1.051018667	0.03625464	0.742603353	0.203968316	2.391676298	0.02301187	63.13007083	NA	3022439.41	3.38E-05	6.857	4.815	2.461	2.497666667	3.371	0.008666667	0.008666667	0.007666667	1.003333333	1.725317333	1.396278333	0.571652667	0.172411667	0.111211	0.084439	0.013777667	126	0.137339	0.429137	0.365712	1.722728	0.016825	0.647055	2.61	14.84	37.37	0.6	-89.2297	-12.6784
GL79_UP	GL79	Alps	0.1	8.75	11.3	99.4	260.5	4.2	198.7	0	46.3127	9.6469	2201	46.4197	9.9338	2176	4009	3074	2	25	0	15.77	0.62	25.24	NA	129	2019	2019	0.014332	0.575763	0.077211984	0.463411689	0.410078245	2.885186513	0.005887478	32.886875	NA	11912117.15	5.35E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.877215	1.294506	0.767246333	0.066929	0.037072667	0.037371333	0.012703	146.3333333	0.098434	0.138188	0.044446	0.49863	0.024852	0.279136	0.58	7.52	18.81	0.26	-95.6353	-13.5713
GL7_UP	GL7	New_Zealand	3	6.72	11	99.7	424.3	5.9	37.7	0	-42.9993	171.3861	1898	-42.9984	171.3898	1750	2321	2115	318	148	45	0.29	0.53	0.54	NA	19	20190228	20190302	1.98E-04	0.035806667	0.006656689	0.170888847	0.024844621	0.625747614	0.011468625	83.945265	NA	5280680.923	1.86E-05	8.886	5.977666667	3.5	2.489333333	0.982666667	0.009	0.009	0.007333333	0.997	NA	NA	NA	NA	NA	NA	NA	121.3333333	NA	NA	NA	NA	NA	NA	7.2	23.1	23	NA	-45.3539	-7.44784
GL80_DN	GL80	Alps	5.8	7	9.8	100.5	246.4	19.9	7.1	0	46.3841	9.8411	2311	46.3909	9.8443	2161	3535	3081	800	150	0	3.34	0.28	11.82	NA	110	2019	2019	0.008399	0.475133	0.074445566	2.352415862	0.2351924	4.653988519	0.065627669	85.22931333	NA	13525262.31	4.27E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.18893	0.22893	0.22161	2.22689	0.06409	2.34144	0.57	12.45	183.65	0.28	-101.173	-14.1734
GL80_UP	GL80	Alps	3.2	NA	10.3	100.3	263.8	17.4	9.7	0	46.3841	9.8411	2311	46.385	9.8419	2276	3535	3081	119	35	0	3.34	0.75	4.43	NA	110	2019	2019	0.012077333	0.737342	0.208230342	2.489289427	0.479438446	9.80678002	0.131376528	83.22795	NA	40380353	1.51E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.951836333	1.323197333	0.207669667	0.154841667	0.041916667	0.082872	0.008659	179.6666667	0.150084	0.188445	0.169998	2.048362	0.063602	2.027576	0.42	15.2	196.63	0.24	-101.326	-14.2963
GL81_UP	GL81	Alps	0.8	8.59	10.9	100.8	194.1	34.8	70.8	0	46.4031	9.8702	2347	46.4035	9.8695	2326	3981	3093	69	21	315	6.11	0.6	10.19	NA	70	2019	2019	0.002335444	1.142827	0.002589863	0.073667013	0.010162103	0.843233798	0	37.01431667	NA	7686079.033	6.47E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.735352667	1.498072333	0.298314667	0.286923333	0.078331	0.150774	0.011987	146.3333333	0.363912	0.276359	0.413436	4.192359	0.154439	5.584175	2.27	11.08	236.06	0.77	-102.413	-14.383
GL82_DN	GL82	Alps	0.8	8.66	10.9	101	292.1	23.9	70	0	46.8559	10.0577	2489	46.8545	10.0542	2430	3087	2777	319	59	315	2.36	0.61	3.88	99	57	2019	2019	0.007748889	2.136579667	0.014187559	2.021873486	0.041334405	0.502464384	0.012174172	21.73094417	NA	10156028.58	1.06E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.267	0.76198	0.47233	2.17589	0.11347	7.04811	2.3	28.09	73.02	0.18	-106.692	-14.8751
GL82_UP	GL82	Alps	1	8.5	10.6	99.7	289.8	25.1	55.9	0	46.8559	10.0577	2489	46.8559	10.0569	2474	3087	2777	61	15	315	2.36	0.66	3.56	99	57	2019	2019	0.022135333	1.434443333	0.016270583	0.641270392	0.066747563	0.84982835	0.041619051	16.60624833	NA	5092202.06	4.62E-05	6.23	4.480666667	0.919666667	2.52	3.718666667	0.008	0.008333333	0.008333333	0.904333333	7.980541333	1.873864667	0.105803333	1.180352333	0.289956	0.58652	0.011911333	314	0.276629	0.726998	0.424472	1.955034	0.17468	6.80934	1.82	29.66	78.06	0.18	-107.111	-14.8902
GL85_DN	GL85	Alps	3.9	6.46	9.4	99.8	267.8	3.3	NA	0	46.9148	10.9328	2953	46.9149	10.9356	2870	3258	3089	215	83	90	0.32	0.75	0.42	NA	NA	20190827	20190827	0.013258555	4.450704667	0.465461723	8.608022182	1.812497813	8.121381297	1.941981628	40.250315	NA	8937159.603	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.036685	0.076794	0.060191	0.31442	0.044418	0.555345	1.14	35.12	42.12	2.83	-118.323	-16.2267
GL85_UP	GL85	Alps	0.1	6.6	10.2	99.9	291.3	3	7	0	46.9148	10.9328	2953	46.9147	10.9339	2929	3258	3087	84	24	90	0.31	0.84	0.37	NA	NA	20190827	20190827	0.029537	4.089318333	0.289636326	4.09854557	1.535573558	5.204951321	1.064330603	27.06720333	NA	4233260.443	NA	0.936333333	0.666333333	0.210333333	2.293333333	15.60366667	0.008333333	0.010666667	0.007	0.819666667	3.667189667	1.467708	0.332673	0.073940333	0.024271	0.037140667	0.007617	211	0.036454	0.147603	0.066976	0.318397	0.02803	0.635105	0.5	40.23	37.44	1.36	-118.666	-16.2697
GL86_DN	GL86	Norway	5.4	7.71	12.3	100	414.3	12.5	26.5	0	69.4775	19.9921	635	69.4723	20.0078	351	1736	1039	883	284	135	5	0.53	9.46	NA	NA	20200803	20200803	0.006834889	1.408565	0.029343045	1.234479461	0.204882389	2.339025014	0.07584327	18.41494833	NA	18298949.57	1.81E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.590013	0.068759	0.432985	0.905082	0.65117	1.20677	0.54	2.19	14.05	1.68	-91.5384	-13.3399
GL86_UP	GL86	Norway	2.7	8.32	13	99.2	403.5	9.8	33.7	0	69.4775	19.9921	635	69.4734	20.0001	393	1736	1039	554	242	135	5	0.54	9.29	NA	NA	20200803	20200803	0.001573222	1.244703333	0.00837588	0.354306848	0.02829447	0.613541098	0.006371452	9.921534667	NA	10759921.69	5.74E-06	1.672	1.231	0.876	2.121	3.504666667	0.007666667	0.006333333	0.006	1.243666667	2.691594667	0.880064333	0.315654667	0.030348667	0.015799	0.015083667	0.003686667	84.56666667	0.435125	0.033369	0.380889	0.602335	0.555219	0.843806	0.45	3.99	37.26	0.92	-91.4936	-13.3252
